# Godot class reference — one row per member
# class	kind	name	signature	brief
@GDScript	method	Color8	Color Color8(r8: int, g8: int, b8: int, a8: int = 255)	Returns a constructed from red (), green (), blue (), and optionally alpha () integer channels, each divided by 255.0 for their final value.
@GDScript	method	assert	void assert(condition: bool, message: String = "")	Asserts that the is true.
@GDScript	method	char	String char(code: int)	Returns a single character (as a of length 1) of the given Unicode code point .
@GDScript	method	convert	Variant convert(what: Variant, type: int)	Converts to in the best way possible.
@GDScript	method	dict_to_inst	Object dict_to_inst(dictionary: Dictionary)	Converts a (created with ) back to an Object instance.
@GDScript	method	get_stack	Array get_stack()	Returns an array of dictionaries representing the current call stack.
@GDScript	method	inst_to_dict	Dictionary inst_to_dict(instance: Object)	Returns the passed converted to a .
@GDScript	method	is_instance_of	bool is_instance_of(value: Variant, type: Variant)	Returns true if is an instance of .
@GDScript	method	len	int len(var: Variant)	Returns the length of the given Variant .
@GDScript	method	load	Resource load(path: String)	Returns a from the filesystem located at the absolute .
@GDScript	method	ord	int ord(char: String)	Returns an integer representing the Unicode code point of the given character , which should be a string of length 1. print(ord("A")) # Prints 65 print(ord("🤖")) # Prints 129302 This is the inverse of .
@GDScript	method	preload	Resource preload(path: String)	Returns a from the filesystem located at .
@GDScript	method	print_debug	void print_debug() vararg	Like , but includes the current stack frame when running with the debugger turned on.
@GDScript	method	print_stack	void print_stack()	Prints a stack trace at the current code location.
@GDScript	method	range	Array range() vararg	Returns an array with the given range.
@GDScript	method	type_exists	bool type_exists(type: StringName)	Returns true if the given -derived class exists in .
@GDScript	constant	PI	PI = 3.14159265358979	Constant that represents how many times the diameter of a circle fits around its perimeter.
@GDScript	constant	TAU	TAU = 6.28318530717959	The circle constant, the circumference of the unit circle in radians.
@GDScript	constant	INF	INF = inf	Positive floating-point infinity.
@GDScript	constant	NAN	NAN = nan	"Not a Number", an invalid floating-point value.
@GlobalScope	method	abs	Variant abs(x: Variant)	Returns the absolute value of a parameter (i.e.
@GlobalScope	method	absf	float absf(x: float)	Returns the absolute value of float parameter (i.e.
@GlobalScope	method	absi	int absi(x: int)	Returns the absolute value of int parameter (i.e.
@GlobalScope	method	acos	float acos(x: float)	Returns the arc cosine of in radians.
@GlobalScope	method	acosh	float acosh(x: float)	Returns the hyperbolic arc (also called inverse) cosine of , returning a value in radians.
@GlobalScope	method	angle_difference	float angle_difference(from: float, to: float)	Returns the difference between the two angles (in radians), in the range of [-PI, +PI].
@GlobalScope	method	asin	float asin(x: float)	Returns the arc sine of in radians.
@GlobalScope	method	asinh	float asinh(x: float)	Returns the hyperbolic arc (also called inverse) sine of , returning a value in radians.
@GlobalScope	method	atan	float atan(x: float)	Returns the arc tangent of in radians.
@GlobalScope	method	atan2	float atan2(y: float, x: float)	Returns the arc tangent of y/x in radians.
@GlobalScope	method	atanh	float atanh(x: float)	Returns the hyperbolic arc (also called inverse) tangent of , returning a value in radians.
@GlobalScope	method	bezier_derivative	float bezier_derivative(start: float, control_1: float, control_2: float, end: float, t: float)	Returns the derivative at the given on a one-dimensional Bézier curve defined by the given , , and points.
@GlobalScope	method	bezier_interpolate	float bezier_interpolate(start: float, control_1: float, control_2: float, end: float, t: float)	Returns the point at the given on a one-dimensional Bézier curve defined by the given , , and points.
@GlobalScope	method	bytes_to_var	Variant bytes_to_var(bytes: PackedByteArray)	Decodes a byte array back to a value, without decoding objects.
@GlobalScope	method	bytes_to_var_with_objects	Variant bytes_to_var_with_objects(bytes: PackedByteArray)	Decodes a byte array back to a value.
@GlobalScope	method	ceil	Variant ceil(x: Variant)	Rounds upward (towards positive infinity), returning the smallest whole number that is not less than .
@GlobalScope	method	ceilf	float ceilf(x: float)	Rounds upward (towards positive infinity), returning the smallest whole number that is not less than .
@GlobalScope	method	ceili	int ceili(x: float)	Rounds upward (towards positive infinity), returning the smallest whole number that is not less than .
@GlobalScope	method	clamp	Variant clamp(value: Variant, min: Variant, max: Variant)	Clamps the , returning a not less than and not more than .
@GlobalScope	method	clampf	float clampf(value: float, min: float, max: float)	Clamps the , returning a not less than and not more than .
@GlobalScope	method	clampi	int clampi(value: int, min: int, max: int)	Clamps the , returning an not less than and not more than .
@GlobalScope	method	cos	float cos(angle_rad: float)	Returns the cosine of angle in radians.
@GlobalScope	method	cosh	float cosh(x: float)	Returns the hyperbolic cosine of in radians.
@GlobalScope	method	cubic_interpolate	float cubic_interpolate(from: float, to: float, pre: float, post: float, weight: float)	Cubic interpolates between two values by the factor defined in with and values.
@GlobalScope	method	cubic_interpolate_angle	float cubic_interpolate_angle(from: float, to: float, pre: float, post: float, weight: float)	Cubic interpolates between two rotation values with shortest path by the factor defined in with and values.
@GlobalScope	method	cubic_interpolate_angle_in_time	float cubic_interpolate_angle_in_time(from: float, to: float, pre: float, post: float, weight: float, to_t: float, pre_t: float, post_t: float)	Cubic interpolates between two rotation values with shortest path by the factor defined in with and values.
@GlobalScope	method	cubic_interpolate_in_time	float cubic_interpolate_in_time(from: float, to: float, pre: float, post: float, weight: float, to_t: float, pre_t: float, post_t: float)	Cubic interpolates between two values by the factor defined in with and values.
@GlobalScope	method	db_to_linear	float db_to_linear(db: float)	Converts from decibels to linear energy (audio).
@GlobalScope	method	deg_to_rad	float deg_to_rad(deg: float)	Converts an angle expressed in degrees to radians.
@GlobalScope	method	ease	float ease(x: float, curve: float)	Returns an "eased" value of based on an easing function defined with .
@GlobalScope	method	error_string	String error_string(error: int)	Returns a human-readable name for the given code.
@GlobalScope	method	exp	float exp(x: float)	The natural exponential function.
@GlobalScope	method	floor	Variant floor(x: Variant)	Rounds downward (towards negative infinity), returning the largest whole number that is not more than .
@GlobalScope	method	floorf	float floorf(x: float)	Rounds downward (towards negative infinity), returning the largest whole number that is not more than .
@GlobalScope	method	floori	int floori(x: float)	Rounds downward (towards negative infinity), returning the largest whole number that is not more than .
@GlobalScope	method	fmod	float fmod(x: float, y: float)	Returns the floating-point remainder of divided by , keeping the sign of .
@GlobalScope	method	fposmod	float fposmod(x: float, y: float)	Returns the floating-point modulus of divided by , wrapping equally in positive and negative.
@GlobalScope	method	hash	int hash(variable: Variant)	Returns the integer hash of the passed .
@GlobalScope	method	instance_from_id	Object instance_from_id(instance_id: int)	Returns the that corresponds to .
@GlobalScope	method	inverse_lerp	float inverse_lerp(from: float, to: float, weight: float)	Returns an interpolation or extrapolation factor considering the range specified in and , and the interpolated value specified in .
@GlobalScope	method	is_equal_approx	bool is_equal_approx(a: float, b: float)	Returns true if and are approximately equal to each other.
@GlobalScope	method	is_finite	bool is_finite(x: float)	Returns whether is a finite value, i.e.
@GlobalScope	method	is_inf	bool is_inf(x: float)	Returns true if is either positive infinity or negative infinity.
@GlobalScope	method	is_instance_id_valid	bool is_instance_id_valid(id: int)	Returns true if the Object that corresponds to is a valid object (e.g.
@GlobalScope	method	is_instance_valid	bool is_instance_valid(instance: Variant)	Returns true if is a valid Object (e.g.
@GlobalScope	method	is_nan	bool is_nan(x: float)	Returns true if is a NaN ("Not a Number" or invalid) value.
@GlobalScope	method	is_same	bool is_same(a: Variant, b: Variant)	Returns true, for value types, if and share the same value.
@GlobalScope	method	is_zero_approx	bool is_zero_approx(x: float)	Returns true if is zero or almost zero.
@GlobalScope	method	lerp	Variant lerp(from: Variant, to: Variant, weight: Variant)	Linearly interpolates between two values by the factor defined in .
@GlobalScope	method	lerp_angle	float lerp_angle(from: float, to: float, weight: float)	Linearly interpolates between two angles (in radians) by a value between 0.0 and 1.0. Similar to , but interpolates correctly when the angles wrap around .
@GlobalScope	method	lerpf	float lerpf(from: float, to: float, weight: float)	Linearly interpolates between two values by the factor defined in .
@GlobalScope	method	linear_to_db	float linear_to_db(lin: float)	Converts from linear energy to decibels (audio).
@GlobalScope	method	log	float log(x: float)	Returns the natural logarithm of (base e, with e being approximately 2.71828).
@GlobalScope	method	max	Variant max() vararg	Returns the maximum of the given numeric values.
@GlobalScope	method	maxf	float maxf(a: float, b: float)	Returns the maximum of two values.
@GlobalScope	method	maxi	int maxi(a: int, b: int)	Returns the maximum of two values.
@GlobalScope	method	min	Variant min() vararg	Returns the minimum of the given numeric values.
@GlobalScope	method	minf	float minf(a: float, b: float)	Returns the minimum of two values.
@GlobalScope	method	mini	int mini(a: int, b: int)	Returns the minimum of two values.
@GlobalScope	method	move_toward	float move_toward(from: float, to: float, delta: float)	Moves toward by the amount.
@GlobalScope	method	nearest_po2	int nearest_po2(value: int)	Returns the smallest integer power of 2 that is greater than or equal to .
@GlobalScope	method	pingpong	float pingpong(value: float, length: float)	Wraps between 0 and the .
@GlobalScope	method	posmod	int posmod(x: int, y: int)	Returns the integer modulus of divided by that wraps equally in positive and negative.
@GlobalScope	method	pow	float pow(base: float, exp: float)	Returns the result of raised to the power of .
@GlobalScope	method	print	void print() vararg	Converts one or more arguments of any type to string in the best way possible and prints them to the console.
@GlobalScope	method	print_rich	void print_rich() vararg	Converts one or more arguments of any type to string in the best way possible and prints them to the console.
@GlobalScope	method	print_verbose	void print_verbose() vararg	If verbose mode is enabled ( returning true), converts one or more arguments of any type to string in the best way possible and prints them to the console.
@GlobalScope	method	printerr	void printerr() vararg	Prints one or more arguments to strings in the best way possible to standard error line.
@GlobalScope	method	printraw	void printraw() vararg	Prints one or more arguments to strings in the best way possible to the OS terminal.
@GlobalScope	method	prints	void prints() vararg	Prints one or more arguments to the console with a space between each argument.
@GlobalScope	method	printt	void printt() vararg	Prints one or more arguments to the console with a tab between each argument.
@GlobalScope	method	push_error	void push_error() vararg	Pushes an error message to Godot's built-in debugger and to the OS terminal.
@GlobalScope	method	push_warning	void push_warning() vararg	Pushes a warning message to Godot's built-in debugger and to the OS terminal.
@GlobalScope	method	rad_to_deg	float rad_to_deg(rad: float)	Converts an angle expressed in radians to degrees.
@GlobalScope	method	rand_from_seed	PackedInt64Array rand_from_seed(seed: int)	Given a , returns a of size 2, where its first element is the randomized value, and the second element is the same as .
@GlobalScope	method	randf	float randf()	Returns a random floating-point value between 0.0 and 1.0 (inclusive).
@GlobalScope	method	randf_range	float randf_range(from: float, to: float)	Returns a random floating-point value between and (inclusive).
@GlobalScope	method	randfn	float randfn(mean: float, deviation: float)	Returns a normally-distributed, pseudo-random floating-point value from the specified and a standard .
@GlobalScope	method	randi	int randi()	Returns a random unsigned 32-bit integer.
@GlobalScope	method	randi_range	int randi_range(from: int, to: int)	Returns a random signed 32-bit integer between and (inclusive).
@GlobalScope	method	randomize	void randomize()	Randomizes the seed (or the internal state) of the random number generator.
@GlobalScope	method	remap	float remap(value: float, istart: float, istop: float, ostart: float, ostop: float)	Maps a from range to .
@GlobalScope	method	rid_allocate_id	int rid_allocate_id()	Allocates a unique ID which can be used by the implementation to construct an RID.
@GlobalScope	method	rid_from_int64	RID rid_from_int64(base: int)	Creates an RID from a .
@GlobalScope	method	rotate_toward	float rotate_toward(from: float, to: float, delta: float)	Rotates toward by the amount.
@GlobalScope	method	round	Variant round(x: Variant)	Rounds to the nearest whole number, with halfway cases rounded away from 0. Supported types: , , , , , , , .
@GlobalScope	method	roundf	float roundf(x: float)	Rounds to the nearest whole number, with halfway cases rounded away from 0. A type-safe version of , returning a .
@GlobalScope	method	roundi	int roundi(x: float)	Rounds to the nearest whole number, with halfway cases rounded away from 0. A type-safe version of , returning an .
@GlobalScope	method	seed	void seed(base: int)	Sets the seed for the random number generator to .
@GlobalScope	method	sign	Variant sign(x: Variant)	Returns the same type of as , with -1 for negative values, 1 for positive values, and 0 for zeros.
@GlobalScope	method	signf	float signf(x: float)	Returns -1.0 if is negative, 1.0 if is positive, and 0.0 if is zero.
@GlobalScope	method	signi	int signi(x: int)	Returns -1 if is negative, 1 if is positive, and 0 if is zero.
@GlobalScope	method	sin	float sin(angle_rad: float)	Returns the sine of angle in radians.
@GlobalScope	method	sinh	float sinh(x: float)	Returns the hyperbolic sine of .
@GlobalScope	method	smoothstep	float smoothstep(from: float, to: float, x: float)	Returns a smooth cubic Hermite interpolation between 0 and 1. For positive ranges (when from <= to) the return value is 0 when x <= from, and 1 when x >= to.
@GlobalScope	method	snapped	Variant snapped(x: Variant, step: Variant)	Returns the multiple of that is the closest to .
@GlobalScope	method	snappedf	float snappedf(x: float, step: float)	Returns the multiple of that is the closest to .
@GlobalScope	method	snappedi	int snappedi(x: float, step: int)	Returns the multiple of that is the closest to .
@GlobalScope	method	sqrt	float sqrt(x: float)	Returns the square root of , where is a non-negative number.
@GlobalScope	method	step_decimals	int step_decimals(x: float)	Returns the position of the first non-zero digit, after the decimal point.
@GlobalScope	method	str	String str() vararg	Converts one or more arguments of any type to a in the best way possible.
@GlobalScope	method	str_to_var	Variant str_to_var(string: String)	Converts a formatted that was returned by to the original .
@GlobalScope	method	tan	float tan(angle_rad: float)	Returns the tangent of angle in radians.
@GlobalScope	method	tanh	float tanh(x: float)	Returns the hyperbolic tangent of .
@GlobalScope	method	type_convert	Variant type_convert(variant: Variant, type: int)	Converts the given to the given , using the values.
@GlobalScope	method	type_string	String type_string(type: int)	Returns a human-readable name of the given , using the values.
@GlobalScope	method	typeof	int typeof(variable: Variant)	Returns the internal type of the given , using the values.
@GlobalScope	method	var_to_bytes	PackedByteArray var_to_bytes(variable: Variant)	Encodes a value to a byte array, without encoding objects.
@GlobalScope	method	var_to_bytes_with_objects	PackedByteArray var_to_bytes_with_objects(variable: Variant)	Encodes a value to a byte array.
@GlobalScope	method	var_to_str	String var_to_str(variable: Variant)	Converts a to a formatted that can then be parsed using .
@GlobalScope	method	weakref	Variant weakref(obj: Variant)	Returns a instance holding a weak reference to .
@GlobalScope	method	wrap	Variant wrap(value: Variant, min: Variant, max: Variant)	Wraps the between and .
@GlobalScope	method	wrapf	float wrapf(value: float, min: float, max: float)	Wraps the float between and .
@GlobalScope	method	wrapi	int wrapi(value: int, min: int, max: int)	Wraps the integer between and .
@GlobalScope	property	AccessibilityServer	AccessibilityServer AccessibilityServer	The singleton.
@GlobalScope	property	AudioServer	AudioServer AudioServer	The singleton.
@GlobalScope	property	CameraServer	CameraServer CameraServer	The singleton.
@GlobalScope	property	ClassDB	ClassDB ClassDB	The singleton.
@GlobalScope	property	DisplayServer	DisplayServer DisplayServer	The singleton.
@GlobalScope	property	EditorInterface	EditorInterface EditorInterface	The singleton.
@GlobalScope	property	Engine	Engine Engine	The singleton.
@GlobalScope	property	EngineDebugger	EngineDebugger EngineDebugger	The singleton.
@GlobalScope	property	GDExtensionManager	GDExtensionManager GDExtensionManager	The singleton.
@GlobalScope	property	GDScriptLanguageProtocol	GDScriptLanguageProtocol GDScriptLanguageProtocol	The singleton.
@GlobalScope	property	Geometry2D	Geometry2D Geometry2D	The singleton.
@GlobalScope	property	Geometry3D	Geometry3D Geometry3D	The singleton.
@GlobalScope	property	IP	IP IP	The singleton.
@GlobalScope	property	Input	Input Input	The singleton.
@GlobalScope	property	InputMap	InputMap InputMap	The singleton.
@GlobalScope	property	JavaClassWrapper	JavaClassWrapper JavaClassWrapper	The singleton.
@GlobalScope	property	JavaScriptBridge	JavaScriptBridge JavaScriptBridge	The singleton.
@GlobalScope	property	Marshalls	Marshalls Marshalls	The singleton.
@GlobalScope	property	NativeMenu	NativeMenu NativeMenu	The singleton.
@GlobalScope	property	NavigationMeshGenerator	NavigationMeshGenerator NavigationMeshGenerator	The singleton.
@GlobalScope	property	NavigationServer2D	NavigationServer2D NavigationServer2D	The singleton.
@GlobalScope	property	NavigationServer2DManager	NavigationServer2DManager NavigationServer2DManager	The singleton.
@GlobalScope	property	NavigationServer3D	NavigationServer3D NavigationServer3D	The singleton.
@GlobalScope	property	NavigationServer3DManager	NavigationServer3DManager NavigationServer3DManager	The singleton.
@GlobalScope	property	OS	OS OS	The singleton.
@GlobalScope	property	Performance	Performance Performance	The singleton.
@GlobalScope	property	PhysicsServer2D	PhysicsServer2D PhysicsServer2D	The singleton.
@GlobalScope	property	PhysicsServer2DManager	PhysicsServer2DManager PhysicsServer2DManager	The singleton.
@GlobalScope	property	PhysicsServer3D	PhysicsServer3D PhysicsServer3D	The singleton.
@GlobalScope	property	PhysicsServer3DManager	PhysicsServer3DManager PhysicsServer3DManager	The singleton.
@GlobalScope	property	ProjectSettings	ProjectSettings ProjectSettings	The singleton.
@GlobalScope	property	RenderingServer	RenderingServer RenderingServer	The singleton.
@GlobalScope	property	ResourceLoader	ResourceLoader ResourceLoader	The singleton.
@GlobalScope	property	ResourceSaver	ResourceSaver ResourceSaver	The singleton.
@GlobalScope	property	ResourceUID	ResourceUID ResourceUID	The singleton.
@GlobalScope	property	TextServerManager	TextServerManager TextServerManager	The singleton.
@GlobalScope	property	ThemeDB	ThemeDB ThemeDB	The singleton.
@GlobalScope	property	Time	Time Time	The singleton.
@GlobalScope	property	TranslationServer	TranslationServer TranslationServer	The singleton.
@GlobalScope	property	WorkerThreadPool	WorkerThreadPool WorkerThreadPool	The singleton.
@GlobalScope	property	XRServer	XRServer XRServer	The singleton.
@GlobalScope	enum-value	SIDE_LEFT	Side.SIDE_LEFT = 0	Left side, usually used for or -derived classes.
@GlobalScope	enum-value	SIDE_TOP	Side.SIDE_TOP = 1	Top side, usually used for or -derived classes.
@GlobalScope	enum-value	SIDE_RIGHT	Side.SIDE_RIGHT = 2	Right side, usually used for or -derived classes.
@GlobalScope	enum-value	SIDE_BOTTOM	Side.SIDE_BOTTOM = 3	Bottom side, usually used for or -derived classes.
@GlobalScope	enum-value	CORNER_TOP_LEFT	Corner.CORNER_TOP_LEFT = 0	Top-left corner.
@GlobalScope	enum-value	CORNER_TOP_RIGHT	Corner.CORNER_TOP_RIGHT = 1	Top-right corner.
@GlobalScope	enum-value	CORNER_BOTTOM_RIGHT	Corner.CORNER_BOTTOM_RIGHT = 2	Bottom-right corner.
@GlobalScope	enum-value	CORNER_BOTTOM_LEFT	Corner.CORNER_BOTTOM_LEFT = 3	Bottom-left corner.
@GlobalScope	enum-value	VERTICAL	Orientation.VERTICAL = 1	General vertical alignment, usually used for , , , etc.
@GlobalScope	enum-value	HORIZONTAL	Orientation.HORIZONTAL = 0	General horizontal alignment, usually used for , , , etc.
@GlobalScope	enum-value	CLOCKWISE	ClockDirection.CLOCKWISE = 0	Clockwise rotation.
@GlobalScope	enum-value	COUNTERCLOCKWISE	ClockDirection.COUNTERCLOCKWISE = 1	Counter-clockwise rotation.
@GlobalScope	enum-value	HORIZONTAL_ALIGNMENT_LEFT	HorizontalAlignment.HORIZONTAL_ALIGNMENT_LEFT = 0	Horizontal left alignment, usually for text-derived classes.
@GlobalScope	enum-value	HORIZONTAL_ALIGNMENT_CENTER	HorizontalAlignment.HORIZONTAL_ALIGNMENT_CENTER = 1	Horizontal center alignment, usually for text-derived classes.
@GlobalScope	enum-value	HORIZONTAL_ALIGNMENT_RIGHT	HorizontalAlignment.HORIZONTAL_ALIGNMENT_RIGHT = 2	Horizontal right alignment, usually for text-derived classes.
@GlobalScope	enum-value	HORIZONTAL_ALIGNMENT_FILL	HorizontalAlignment.HORIZONTAL_ALIGNMENT_FILL = 3	Expand row to fit width, usually for text-derived classes.
@GlobalScope	enum-value	VERTICAL_ALIGNMENT_TOP	VerticalAlignment.VERTICAL_ALIGNMENT_TOP = 0	Vertical top alignment, usually for text-derived classes.
@GlobalScope	enum-value	VERTICAL_ALIGNMENT_CENTER	VerticalAlignment.VERTICAL_ALIGNMENT_CENTER = 1	Vertical center alignment, usually for text-derived classes.
@GlobalScope	enum-value	VERTICAL_ALIGNMENT_BOTTOM	VerticalAlignment.VERTICAL_ALIGNMENT_BOTTOM = 2	Vertical bottom alignment, usually for text-derived classes.
@GlobalScope	enum-value	VERTICAL_ALIGNMENT_FILL	VerticalAlignment.VERTICAL_ALIGNMENT_FILL = 3	Expand rows to fit height, usually for text-derived classes.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TOP_TO	InlineAlignment.INLINE_ALIGNMENT_TOP_TO = 0	Aligns the top of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_CENTER_TO	InlineAlignment.INLINE_ALIGNMENT_CENTER_TO = 1	Aligns the center of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_BASELINE_TO	InlineAlignment.INLINE_ALIGNMENT_BASELINE_TO = 3	Aligns the baseline (user defined) of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_BOTTOM_TO	InlineAlignment.INLINE_ALIGNMENT_BOTTOM_TO = 2	Aligns the bottom of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TO_TOP	InlineAlignment.INLINE_ALIGNMENT_TO_TOP = 0	Aligns the position of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TO_CENTER	InlineAlignment.INLINE_ALIGNMENT_TO_CENTER = 4	Aligns the position of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TO_BASELINE	InlineAlignment.INLINE_ALIGNMENT_TO_BASELINE = 8	Aligns the position of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TO_BOTTOM	InlineAlignment.INLINE_ALIGNMENT_TO_BOTTOM = 12	Aligns inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TOP	InlineAlignment.INLINE_ALIGNMENT_TOP = 0	Aligns top of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_CENTER	InlineAlignment.INLINE_ALIGNMENT_CENTER = 5	Aligns center of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_BOTTOM	InlineAlignment.INLINE_ALIGNMENT_BOTTOM = 14	Aligns bottom of the inline object (e.g.
@GlobalScope	enum-value	INLINE_ALIGNMENT_IMAGE_MASK	InlineAlignment.INLINE_ALIGNMENT_IMAGE_MASK = 3	A bit mask for INLINE_ALIGNMENT_*_TO alignment constants.
@GlobalScope	enum-value	INLINE_ALIGNMENT_TEXT_MASK	InlineAlignment.INLINE_ALIGNMENT_TEXT_MASK = 12	A bit mask for INLINE_ALIGNMENT_TO_* alignment constants.
@GlobalScope	enum-value	EULER_ORDER_XYZ	EulerOrder.EULER_ORDER_XYZ = 0	Specifies that Euler angles should be in intrinsic XYZ order.
@GlobalScope	enum-value	EULER_ORDER_XZY	EulerOrder.EULER_ORDER_XZY = 1	Specifies that Euler angles should be in intrinsic XZY order.
@GlobalScope	enum-value	EULER_ORDER_YXZ	EulerOrder.EULER_ORDER_YXZ = 2	Specifies that Euler angles should be in intrinsic YXZ order.
@GlobalScope	enum-value	EULER_ORDER_YZX	EulerOrder.EULER_ORDER_YZX = 3	Specifies that Euler angles should be in intrinsic YZX order.
@GlobalScope	enum-value	EULER_ORDER_ZXY	EulerOrder.EULER_ORDER_ZXY = 4	Specifies that Euler angles should be in intrinsic ZXY order.
@GlobalScope	enum-value	EULER_ORDER_ZYX	EulerOrder.EULER_ORDER_ZYX = 5	Specifies that Euler angles should be in intrinsic ZYX order.
@GlobalScope	enum-value	KEY_NONE	Key.KEY_NONE = 0	Enum value which doesn't correspond to any key.
@GlobalScope	enum-value	KEY_SPECIAL	Key.KEY_SPECIAL = 4194304	Keycodes with this bit applied are non-printable.
@GlobalScope	enum-value	KEY_ESCAPE	Key.KEY_ESCAPE = 4194305	Escape key.
@GlobalScope	enum-value	KEY_TAB	Key.KEY_TAB = 4194306	Tab key.
@GlobalScope	enum-value	KEY_BACKTAB	Key.KEY_BACKTAB = 4194307	Shift + Tab key.
@GlobalScope	enum-value	KEY_BACKSPACE	Key.KEY_BACKSPACE = 4194308	Backspace key.
@GlobalScope	enum-value	KEY_ENTER	Key.KEY_ENTER = 4194309	Return key (on the main keyboard).
@GlobalScope	enum-value	KEY_KP_ENTER	Key.KEY_KP_ENTER = 4194310	Enter key on the numeric keypad.
@GlobalScope	enum-value	KEY_INSERT	Key.KEY_INSERT = 4194311	Insert key.
@GlobalScope	enum-value	KEY_DELETE	Key.KEY_DELETE = 4194312	Delete key.
@GlobalScope	enum-value	KEY_PAUSE	Key.KEY_PAUSE = 4194313	Pause key.
@GlobalScope	enum-value	KEY_PRINT	Key.KEY_PRINT = 4194314	Print Screen key.
@GlobalScope	enum-value	KEY_SYSREQ	Key.KEY_SYSREQ = 4194315	System Request key.
@GlobalScope	enum-value	KEY_CLEAR	Key.KEY_CLEAR = 4194316	Clear key.
@GlobalScope	enum-value	KEY_HOME	Key.KEY_HOME = 4194317	Home key.
@GlobalScope	enum-value	KEY_END	Key.KEY_END = 4194318	End key.
@GlobalScope	enum-value	KEY_LEFT	Key.KEY_LEFT = 4194319	Left arrow key.
@GlobalScope	enum-value	KEY_UP	Key.KEY_UP = 4194320	Up arrow key.
@GlobalScope	enum-value	KEY_RIGHT	Key.KEY_RIGHT = 4194321	Right arrow key.
@GlobalScope	enum-value	KEY_DOWN	Key.KEY_DOWN = 4194322	Down arrow key.
@GlobalScope	enum-value	KEY_PAGEUP	Key.KEY_PAGEUP = 4194323	Page Up key.
@GlobalScope	enum-value	KEY_PAGEDOWN	Key.KEY_PAGEDOWN = 4194324	Page Down key.
@GlobalScope	enum-value	KEY_SHIFT	Key.KEY_SHIFT = 4194325	Shift key.
@GlobalScope	enum-value	KEY_CTRL	Key.KEY_CTRL = 4194326	Control key.
@GlobalScope	enum-value	KEY_META	Key.KEY_META = 4194327	Meta key.
@GlobalScope	enum-value	KEY_ALT	Key.KEY_ALT = 4194328	Alt key.
@GlobalScope	enum-value	KEY_CAPSLOCK	Key.KEY_CAPSLOCK = 4194329	Caps Lock key.
@GlobalScope	enum-value	KEY_NUMLOCK	Key.KEY_NUMLOCK = 4194330	Num Lock key.
@GlobalScope	enum-value	KEY_SCROLLLOCK	Key.KEY_SCROLLLOCK = 4194331	Scroll Lock key.
@GlobalScope	enum-value	KEY_F1	Key.KEY_F1 = 4194332	F1 key.
@GlobalScope	enum-value	KEY_F2	Key.KEY_F2 = 4194333	F2 key.
@GlobalScope	enum-value	KEY_F3	Key.KEY_F3 = 4194334	F3 key.
@GlobalScope	enum-value	KEY_F4	Key.KEY_F4 = 4194335	F4 key.
@GlobalScope	enum-value	KEY_F5	Key.KEY_F5 = 4194336	F5 key.
@GlobalScope	enum-value	KEY_F6	Key.KEY_F6 = 4194337	F6 key.
@GlobalScope	enum-value	KEY_F7	Key.KEY_F7 = 4194338	F7 key.
@GlobalScope	enum-value	KEY_F8	Key.KEY_F8 = 4194339	F8 key.
@GlobalScope	enum-value	KEY_F9	Key.KEY_F9 = 4194340	F9 key.
@GlobalScope	enum-value	KEY_F10	Key.KEY_F10 = 4194341	F10 key.
@GlobalScope	enum-value	KEY_F11	Key.KEY_F11 = 4194342	F11 key.
@GlobalScope	enum-value	KEY_F12	Key.KEY_F12 = 4194343	F12 key.
@GlobalScope	enum-value	KEY_F13	Key.KEY_F13 = 4194344	F13 key.
@GlobalScope	enum-value	KEY_F14	Key.KEY_F14 = 4194345	F14 key.
@GlobalScope	enum-value	KEY_F15	Key.KEY_F15 = 4194346	F15 key.
@GlobalScope	enum-value	KEY_F16	Key.KEY_F16 = 4194347	F16 key.
@GlobalScope	enum-value	KEY_F17	Key.KEY_F17 = 4194348	F17 key.
@GlobalScope	enum-value	KEY_F18	Key.KEY_F18 = 4194349	F18 key.
@GlobalScope	enum-value	KEY_F19	Key.KEY_F19 = 4194350	F19 key.
@GlobalScope	enum-value	KEY_F20	Key.KEY_F20 = 4194351	F20 key.
@GlobalScope	enum-value	KEY_F21	Key.KEY_F21 = 4194352	F21 key.
@GlobalScope	enum-value	KEY_F22	Key.KEY_F22 = 4194353	F22 key.
@GlobalScope	enum-value	KEY_F23	Key.KEY_F23 = 4194354	F23 key.
@GlobalScope	enum-value	KEY_F24	Key.KEY_F24 = 4194355	F24 key.
@GlobalScope	enum-value	KEY_F25	Key.KEY_F25 = 4194356	F25 key.
